time,cpu_percent,ram_percent,error_count
2025-01-01 00:00,51.22,58.28,9
2025-01-01 01:00,91.55,78.68,3
2025-01-01 02:00,76.24,42.38,5
2025-01-01 03:00,66.91,61.88,1
2025-01-01 04:00,35.92,66.73,9
2025-01-01 05:00,35.92,32.88,11
2025-01-01 06:00,29.07,67.67,1
2025-01-01 07:00,85.63,40.57,9
2025-01-01 08:00,67.08,34.03,3
2025-01-01 09:00,74.57,88.83,7
2025-01-01 10:00,26.44,89.87,6
2025-01-01 11:00,92.89,80.12,11
2025-01-01 12:00,83.27,48.89,8
2025-01-01 13:00,39.86,36.06,7
2025-01-01 14:00,37.73,72.42,4
2025-01-01 15:00,37.84,57.29,1
2025-01-01 16:00,46.3,37.57,4
2025-01-01 17:00,61.73,60.7,7
2025-01-01 18:00,55.24,32.13,9
2025-01-01 19:00,45.39,86.38,8
2025-01-01 20:00,67.83,46.04,11
2025-01-01 21:00,34.76,71.08,11
2025-01-01 22:00,45.45,49.33,11
2025-01-01 23:00,50.65,62.24,8
